customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churn_flag,customer_name,country,state,gender,dob,complaint_date,escalations,csat_score,complaint_count,tenure_days,churn_risk
0002-ORFBO,2021-03-15,Refferal,2025-03-15,Standard,Annual,,,13.99,627,12,0,keshav,India,Maharashtra,Male,1982-04-12,,0,,,1994.0,low
0003-MKNFE,2020-08-01,Paid,2024-08-01,Premium,Annual,2024-09-10,Switched to competitor,12.99,1150,91,1,raghav,India,Karnataka,Male,1995-11-23,2024-08-28,1,10.0,2.0,1501.0,high
0004-TLHLJ,2022-11-20,Organic,2025-11-20,Basic,Monthly,,,6.99,210,34,0,lalita,India,Delhi,Female,1978-02-15,,0,,,1379.0,low
0011-IGKFF,2019-05-10,Paid,2025-05-10,Premium,Annual,,,22.99,1725,8,0,mohan,India,Nagaland,Male,2001-08-30,,0,,,2669.0,low
0013-EXCHZ,2023-01-05,Refferal,2024-01-05,Standard,Monthly,2024-02-28,Too expensive,13.99,195,88,1,mira,India,Delhi,Female,1990-05-05,2024-01-20,1,20.0,1.0,419.0,high
0013-MHZWF,2022-06-18,Paid,2025-06-18,Standard,Annual,,,17.99,720,22,0,durga,India,Delhi,Female,1988-12-10,2025-03-18,0,90.0,1.0,1534.0,low
0013-SMEOE,2021-09-30,Refferal,2024-09-30,Basic,Monthly,2024-11-15,Not enough content,8.99,230,79,1,mina,India,Meghalaya,Female,1976-09-21,2024-11-01,0,30.0,1.0,1142.0,high
0014-BMAQU,2020-02-14,Organic,2025-02-14,Premium,Annual,,,22.99,1840,5,0,madan,India,Rajasthan,Male,1999-03-14,,0,,,2389.0,low
0015-UOCOJ,2023-07-22,Organic,2024-07-22,Standard,Monthly,,,13.99,240,34,0,maya,Nepal,Kathmandu,Female,1985-07-07,,0,,,1135.0,low
0016-QLJIS,2022-04-03,Organic,2025-04-03,Basic,Annual,,,6.99,335,41,0,arjun,Nepal,Kathmandu,Male,1993-10-29,,0,,,1610.0,low
0017-DINOC,2021-12-01,Organic,2025-12-01,Premium,Annual,,,22.99,1610,14,0,shiva,India,Maharashtra,Male,1997-01-22,,0,,,1733.0,low
0017-IUDMW,2023-03-17,Refferal,2024-03-17,Standard,Monthly,2024-05-01,Poor streaming quality,7.99,270,83,1,rangadevi,India,Karnataka,Female,1981-06-18,2024-04-10,1,25.0,1.0,411.0,high
0018-NYROU,2020-10-09,Organic,2025-10-09,Standard,Annual,,,13.99,980,19,0,chitra,India,Telangana,Female,2004-12-01,,0,,,2151.0,low
0019-EFAEP,2022-08-25,Refferal,2024-08-25,Basic,Monthly,2024-10-31,Switched to competitor,12.99,160,76,1,raju,India,Meghalaya,Female,1992-04-25,2024-09-27,1,30.0,1.0,798.0,high
0019-GFNTW,2019-11-11,Paid,2025-11-11,Premium,Annual,,,92.99,2185,3,0,Madhav,India,Uttar Pradesh,Male,1979-11-11,,0,,,2484.0,low
0020-INWCK,2023-05-06,Organic,2025-05-06,Standard,Monthly,,,13.99,640,58,0,parvati,India,Delhi,Female,1986-02-28,,0,,,1212.0,med
0020-JDNXP,2022-01-19,Organic,2024-01-19,Premium,Annual,,,20.99,550,62,0,rikim,India,Meghalaya,Female,1994-08-19,,0,,,1684.0,med
0021-IKXGC,2021-07-07,Paid,2025-07-07,Standard,Annual,,,13.99,840,27,0,vishakha,India,Rajasthan,Female,2000-09-02,,0,,,1880.0,low
0022-TCJCI,2023-09-14,Refferal,2024-09-14,Basic,Monthly,2024-09-14,Forgot to cancel trial,16.99,42,99,1,raghvendra,India,Telangana,Male,1983-12-30,2024-09-14,0,90.0,2.0,366.0,high
0023-HGHWL,2020-06-23,Organic,2025-06-23,Premium,Annual,,,22.99,1955,7,0,rishabh,India,Uttar Pradesh,Male,1991-05-14,,0,,,2259.0,low
0023-UYUPN,2022-12-31,Paid,2025-12-31,Standard,Monthly,,,13.99,790,47,0,sudevi,India,Maharashtra,Female,1977-10-06,,0,,,1338.0,low
0022-YAXXQ,2023-06-26,Organic,2026-06-25,Basic,Annual,,,19.99,2527,24,0,sophia,Canada,Ontario,Female,1996-06-29,2026-04-06,0,40.0,1.0,1161.0,low
0023-ZURPX,2021-12-05,Refferal,2023-12-05,Premium,Annual,2024-01-25,Switched to competitor,13.99,2827,75,1,sneha,Australia,NSW,Female,1976-01-23,,0,,,781.0,high
0024-MKGAZ,2021-12-20,Paid,2024-12-19,Basic,Monthly,,,6.99,528,91,0,ananya,India,Gujarat,Female,1988-11-12,2024-02-26,0,10.0,1.0,1714.0,high
0025-BCNYW,2020-01-22,Refferal,2022-01-21,Basic,Monthly,,,12.99,160,51,0,nikhil,USA,Texas,Male,1986-03-29,2021-04-04,1,40.0,1.0,2412.0,med
0026-EYZIR,2024-07-04,Refferal,2026-07-04,Basic,Annual,,,13.99,237,33,0,james,Germany,Bavaria,Male,2001-09-12,2026-02-04,1,20.0,1.0,787.0,low
0027-GXPPU,2020-12-31,Paid,2022-12-31,Standard,Annual,,,12.99,1251,21,0,vikram,USA,California,Male,1983-10-13,2022-06-20,0,100.0,1.0,2068.0,low
0028-HDIDA,2024-03-08,Paid,2028-03-07,Basic,Monthly,,,19.99,739,76,0,daniel,India,Tamil Nadu,Male,1974-08-30,2027-12-04,1,80.0,1.0,905.0,high
0029-LIODE,2020-01-29,Organic,2024-01-28,Basic,Annual,,,6.99,2122,18,0,rohan,Australia,NSW,Male,1976-04-16,,0,,,2405.0,low
0030-JSRUD,2020-07-11,Paid,2024-07-10,Premium,Monthly,,,6.99,1114,74,0,neha,India,Maharashtra,Female,1999-08-11,,0,,,2241.0,high
0031-YCLYG,2023-12-22,Refferal,2027-12-21,Premium,Monthly,,,6.99,2830,46,0,daniel,India,Tamil Nadu,Male,1989-11-27,,0,,,982.0,low
0032-ULDUV,2023-06-03,Organic,2024-06-02,Premium,Monthly,,,19.99,2565,42,0,daniel,USA,California,Male,1990-10-13,2024-02-19,1,100.0,1.0,1184.0,low
0033-UPNLE,2024-05-10,Refferal,2027-05-10,Basic,Monthly,,,6.99,1416,85,0,keshav,Australia,Victoria,Male,1988-07-23,2027-03-18,1,10.0,1.0,842.0,high
0034-IYKEE,2020-03-17,Refferal,2024-03-16,Premium,Annual,,,19.99,1751,37,0,manish,Germany,Berlin,Male,1972-05-18,,0,,,2357.0,low
0035-QHPFW,2020-05-24,Paid,2021-05-24,Basic,Annual,,,9.99,2187,15,0,sophia,Australia,Victoria,Female,1982-10-06,2021-04-02,1,40.0,1.0,2289.0,low
0036-YQGCY,2022-11-10,Organic,2026-11-09,Standard,Monthly,,,12.99,2964,68,0,manish,Canada,Quebec,Male,1981-06-01,2026-02-21,1,40.0,1.0,1389.0,med
0037-PYWFT,2020-01-16,Refferal,2022-01-15,Standard,Monthly,,,19.99,1403,28,0,daniel,USA,Texas,Male,1976-09-18,,0,,,2418.0,low
0038-VXBDQ,2020-12-24,Refferal,2024-12-23,Premium,Annual,,,6.99,416,66,0,divya,India,Maharashtra,Female,1973-03-21,2024-07-10,1,60.0,1.0,2075.0,med
0039-GGCZU,2022-07-22,Paid,2024-07-21,Premium,Annual,,,12.99,675,48,0,aarav,Germany,Bavaria,Male,1983-04-16,2024-02-19,1,40.0,1.0,1500.0,low
0040-WBPZU,2024-10-02,Organic,2025-10-02,Standard,Annual,,,9.99,1309,40,0,ananya,Germany,Bavaria,Female,1992-08-31,,0,,,697.0,low
0041-WQJUU,2023-01-27,Refferal,2027-01-26,Basic,Monthly,,,6.99,1061,6,0,divya,Australia,Victoria,Female,1979-03-25,,0,,,1311.0,low
0042-LPFPZ,2021-02-15,Refferal,2025-02-14,Premium,Annual,,,6.99,424,7,0,daniel,Canada,Quebec,Male,1976-11-17,2024-09-16,0,10.0,1.0,2022.0,low
0043-RVWVJ,2020-06-24,Organic,2024-06-23,Basic,Annual,,,9.99,2038,71,0,rahul,India,Karnataka,Male,1996-11-27,2023-10-19,1,10.0,1.0,2258.0,high
0044-ROJYP,2024-10-07,Paid,2026-10-07,Standard,Annual,,,9.99,1502,45,0,sneha,India,Gujarat,Female,2002-03-03,,0,,,692.0,low
0045-PNWYR,2024-11-11,Refferal,2026-11-11,Premium,Monthly,,,9.99,2890,17,0,keshav,USA,Texas,Male,1979-03-25,2026-04-21,1,40.0,1.0,657.0,low
0046-GNDID,2024-10-22,Paid,2028-10-21,Premium,Monthly,,,13.99,1033,59,0,rohan,Canada,Ontario,Male,1988-05-13,2028-06-06,0,60.0,1.0,677.0,med
0047-SANZU,2020-03-27,Paid,2023-03-27,Basic,Annual,,,19.99,1833,42,0,rahul,USA,Texas,Male,2000-10-02,2022-12-02,1,40.0,1.0,2347.0,low
0048-PGJSQ,2023-07-22,Organic,2025-07-21,Basic,Monthly,,,19.99,2662,14,0,divya,USA,California,Female,1986-05-13,2024-11-19,1,40.0,1.0,1135.0,low
0049-WQWUN,2022-02-18,Paid,2025-02-17,Basic,Monthly,,,9.99,1793,95,0,emily,Australia,NSW,Female,1978-03-06,,0,,,1654.0,high
0050-MULJM,2020-11-30,Refferal,2021-11-30,Premium,Annual,2022-01-11,Switched to competitor,13.99,1565,99,1,divya,Australia,Victoria,Female,1995-08-14,,0,,,407.0,high
0051-FRLCE,2022-09-25,Organic,2023-09-25,Standard,Monthly,,,6.99,930,10,0,nikhil,India,Maharashtra,Male,1995-08-06,2023-04-10,1,10.0,1.0,1435.0,low
0052-GDJYW,2022-01-09,Organic,2023-01-09,Basic,Monthly,,,6.99,2697,65,0,keshav,India,Maharashtra,Male,1990-06-07,2022-11-09,1,40.0,1.0,1694.0,med
0053-XYPXO,2023-10-02,Paid,2025-10-01,Premium,Annual,2025-11-14,Moved away,6.99,1859,98,1,rahul,Australia,Victoria,Male,1981-02-20,2025-03-27,1,20.0,1.0,774.0,high
0054-JEJCT,2022-10-15,Refferal,2024-10-14,Basic,Annual,,,13.99,1134,50,0,sophia,Germany,Berlin,Female,1981-09-30,2024-06-18,0,60.0,1.0,1415.0,med
0055-FIMQZ,2022-08-10,Refferal,2024-08-09,Basic,Annual,2024-09-11,Moved away,6.99,563,85,1,daniel,India,Maharashtra,Male,1980-11-04,,0,,,763.0,high
0056-LERTD,2021-01-11,Refferal,2022-01-11,Premium,Annual,,,13.99,982,47,0,nikhil,Germany,Bavaria,Male,1983-09-25,,0,,,2057.0,low
0057-CEGWR,2023-01-29,Paid,2024-01-29,Premium,Annual,,,13.99,956,74,0,rahul,USA,California,Male,1996-09-10,,0,,,1309.0,high
0058-RCUIM,2024-07-15,Paid,2026-07-15,Premium,Annual,,,12.99,2119,27,0,keshav,Germany,Berlin,Male,1991-12-31,2026-01-18,0,100.0,1.0,776.0,low
0059-FHGIG,2020-05-25,Organic,2023-05-25,Standard,Annual,2023-06-16,Moved away,6.99,1190,91,1,pooja,Australia,NSW,Female,1988-05-28,2023-01-20,0,80.0,1.0,1117.0,high
0060-TUFUS,2024-02-01,Paid,2026-01-31,Premium,Monthly,,,13.99,940,19,0,neha,Australia,NSW,Female,1989-12-14,2025-10-06,1,40.0,1.0,941.0,low
0061-OGREQ,2023-06-08,Refferal,2026-06-07,Standard,Monthly,,,6.99,1587,67,0,manish,USA,California,Male,1974-06-04,,0,,,1179.0,med
0062-CRWFD,2021-11-27,Organic,2024-11-26,Basic,Monthly,,,12.99,2136,8,0,divya,Canada,Ontario,Female,1972-11-08,2024-04-13,1,100.0,1.0,1737.0,low
0063-FBMDB,2023-05-13,Organic,2024-05-12,Premium,Annual,,,13.99,163,24,0,meera,Canada,Ontario,Female,1990-03-06,2024-02-02,0,100.0,1.0,1205.0,low
0064-SQBBR,2023-08-29,Paid,2027-08-28,Standard,Monthly,,,12.99,555,12,0,sophia,USA,Florida,Female,1997-08-04,2027-07-21,1,40.0,1.0,1097.0,low
0065-GULKX,2024-03-21,Refferal,2027-03-21,Premium,Monthly,,,9.99,587,4,0,divya,Australia,NSW,Female,1972-09-30,2027-01-12,0,40.0,1.0,892.0,low
0066-YAKXP,2023-03-15,Refferal,2026-03-14,Standard,Monthly,,,13.99,1482,29,0,meera,India,Tamil Nadu,Female,1991-09-09,2025-12-09,1,40.0,1.0,1264.0,low
0067-JRBPX,2024-05-09,Refferal,2026-05-09,Basic,Monthly,,,6.99,776,59,0,ananya,Canada,Quebec,Female,1993-08-21,,0,,,843.0,med
0068-NKXOE,2021-07-15,Paid,2024-07-14,Standard,Annual,,,6.99,2460,52,0,ananya,Germany,Bavaria,Female,1983-10-04,2023-10-27,0,10.0,1.0,1872.0,med
0069-JYAEA,2023-10-02,Paid,2025-10-01,Basic,Annual,2025-11-09,Moved away,6.99,169,91,1,rohan,Germany,Bavaria,Male,1983-01-16,,0,,,769.0,high
0070-DTODP,2020-05-17,Refferal,2022-05-17,Basic,Monthly,,,19.99,663,25,0,rahul,USA,California,Male,1992-10-10,,0,,,2296.0,low
0071-CPAXL,2022-04-11,Organic,2025-04-10,Basic,Monthly,,,6.99,2313,67,0,sneha,Canada,Ontario,Female,1994-08-13,2025-01-18,0,10.0,1.0,1602.0,med
0072-NQOWU,2021-11-26,Paid,2024-11-25,Standard,Monthly,,,12.99,2280,14,0,vikram,Canada,Quebec,Male,1980-01-23,2024-09-10,0,100.0,1.0,1738.0,low
0073-CDMSI,2020-02-21,Organic,2022-02-20,Premium,Monthly,,,13.99,2572,84,0,daniel,India,Tamil Nadu,Male,1992-01-27,2021-09-09,0,10.0,1.0,2382.0,high
0074-PCDQG,2024-08-28,Paid,2027-08-28,Standard,Monthly,,,19.99,2761,47,0,rohan,India,Karnataka,Male,1996-11-23,2026-11-02,0,20.0,1.0,732.0,low
0075-FJNMF,2021-10-28,Organic,2025-10-27,Standard,Monthly,,,6.99,2833,62,0,arjun,India,Gujarat,Male,1998-11-24,,0,,,1767.0,med
0076-SWWKY,2022-09-23,Refferal,2025-09-22,Premium,Monthly,,,19.99,802,2,0,ananya,USA,Florida,Female,1994-08-15,,0,,,1437.0,low
0077-ATBAP,2021-12-07,Paid,2024-12-06,Standard,Annual,,,12.99,161,14,0,rohan,India,Karnataka,Male,1986-04-11,,0,,,1727.0,low
0078-BIWZT,2024-04-21,Paid,2028-04-20,Standard,Monthly,,,12.99,1452,25,0,pooja,Australia,NSW,Female,1996-01-05,,0,,,861.0,low
